Date,Adj Close,Volume,Var%,Fechamento,Noticias,Noticias_ingles,score,polaridade_vad,subjetividade_vad,negatividade_vad,neutralidade_vad,positividade_vad,composicao_vad,neg_rob,neu_rob,pos_rob,pos_finbert,neg_finbert,neu_finbert
2020-01-02,20.466218948364254,37774500,0.017229934576132644,1," petrobras e vale retiram seus funcionários de china, cingapura e japão em meio a emergência global petrobras transfere mil funcionários para vitória - tribuna online surto de coronavírus pode atrapalhar vendas da petrobras"," petrobras and vale withdraw their employees from china, singapore and japan amid global emergency petrobras transfers 1,000 employees to Vitória - tribuna online Coronavirus outbreak could disrupt Petrobras sales",0.0,0.0,0.0,0.167,2.833,0.0,-0.3818,1.396340575069189,1.5424464046955109,0.061213047709316015,0.0,-1.9998512268066406,0.9999513626098633
2020-01-03,20.299556732177734,71595600,-0.008143283163685844,0, petrobras reduz preços do diesel e da gasolina nas refinarias, petrobras reduces diesel and gasoline prices at refineries,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12577396631240845,0.7848861813545227,0.08933981508016586,0.9999743700027466,0.0,0.0
2020-01-06,20.539552688598636,81844000,0.011822719066592713,1,"  petrobras faz redução em produção de petróleo e gastos com pessoal empresa inicia recrutamento em macaé para engenheiro em projeto da petrobras com possibilidade de embarque offshore neste dia 01  petrobras avança processo de venda de campos de petróleo na bacia de camamu, bahia petrobras coloca à venda blocos de exploração de petróleo no es"," petrobras advances the process of selling oil fields in the camamu basin, bahia petrobras puts oil exploration blocks for sale in es",0.0,0.0,0.0,0.176,1.6480000000000001,0.176,0.0,0.1300918236374855,1.7921906113624573,0.07771760784089565,0.0,0.0,1.999760091304779
2020-01-07,20.459550857543945,32822000,-0.003895013307621653,0," o adeus da petrobras ao amazonas petrobras vê adesão de mais de 20% dos funcionários a planos de demissão mycap inclui gerdau, petrobras, qualicorp e eztec em carteira de julho para lula, proximidade entre fbi e lava jato tinha petrobras como objetivo"," Petrobras' goodbye to the Amazon petrobras sees adherence of more than 20% of employees to layoff plans mycap includes gerdau, petrobras, qualicorp and eztec in the July portfolio for lula, proximity between fbi and lavajet had petrobras as objective",-6.0,0.5,0.6,0.0,3.702,0.298,0.1779,0.20415997132658958,3.4436540603637695,0.3521856591105461,0.0,0.0,3.9984962344169617
2020-01-09,20.266225814819336,36102700,-0.0032787097462911863,0, refinarias da petrobras apresentam queda na carga global de processamento de petróleo nos últimos dias, Petrobras refineries show a drop in global oil processing load in recent days,-3.0,0.0,0.125,0.149,0.851,0.0,-0.2732,0.2904514670372009,0.681582510471344,0.027965985238552094,0.0,-0.999984860420227,0.0
2020-01-10,20.1795597076416,25397500,-0.004276381205343238,0," petrobras pode criar subsidiárias para vender 8 refinarias, decide stf supremo autoriza venda de refinarias da petrobras contestada pelo congresso venda de ativos de subsidiárias da petrobras não depende ... petrobras conclui venda de campos terrestres de lagoa parda petrobras retomará processos competitivos para venda de refinarias"," petrobras may create subsidiaries to sell 8 refineries, decides stf supreme authorizes sale of petrobras refineries contested by congress sale of assets of petrobras subsidiaries does not depend on ... petrobras completes sale of onshore fields in lagoon parda petrobras will resume competitive processes for the sale of refineries",-2.0,0.0,0.0,0.0,4.197,0.803,1.1864,0.34958777111023664,4.284043788909912,0.3663684297353029,0.0,0.0,4.993160605430603
2020-01-13,20.219558715820312,30676800,0.001982154653431989,1,"  vazamento de gás atinge plataforma da petrobras combustível: petrobras reduz preço da gasolina e diesel nas refinarias petrobras reduz preço da gasolina e diesel nas refinarias refinarias da petrobras atraem interesses de estrangeiras, braskem tem r$ 3,7 bi restituídos ao caixa e mais destaques  quase fechada a venda de refinaria da petrobras na bahia  petrobras vende áreas de produção e abre espaço para empresas menores investirem r$ 10,6 bi petrobras espera concluir venda da liquigás ainda este mês petrobras prioriza cortes de carbono enquanto equinor mira renováveis no brasil o vídeo da petrobras que milhares de funcionários ‘não curtiram' grande cortina de fumaça na plataforma da petrobras cherne-2 assusta petroleiro ao ponto de pensar que a unidade estava em chamas"," gas leak hits petrobras platform fuel: petrobras reduces the price of gasoline and diesel in refineries petrobras reduces the price of gasoline and diesel at refineries petrobras refineries attract foreign interests, braskem has r$ 3.7 billion returned to cash and more highlights",3.0,0.1875,0.3125,0.375,3.382,0.243,0.20229999999999998,0.6551053402945399,2.740914136171341,0.6039802832528949,1.9995529651641846,-0.7543525099754333,0.9576604962348938
2020-01-14,19.99956512451172,39796500,-0.01088023702201102,0," fábrica de fertilizantes da petrobras no paraná encerra atividades petrobras encerra atividades de fábrica de fertilizante no paraná e demite 396 funcionários petrobras vai hibernar fábrica de fertilizantes no paraná e demitirá 396 empregados petrobras lança documentários sobre trabalho em lugares extremos com apoio da petrobras, estação brasileira na antártica é reinaugurada"," petrobras fertilizer factory in paraná closes down petrobras shuts down fertilizer factory activities in paraná and lays off 396 employees Petrobras will shut down fertilizer factory in Paraná and lay off 396 employees petrobras releases documentaries about working in extreme places with support from petrobras, brazilian station in antarctica is reopened",-12.0,-0.5916666666666668,1.8666666666666667,0.0,4.769,0.231,0.4019,1.9390836860984564,2.385285049676895,0.6756311608478427,0.0,0.0,4.930803179740906
2020-01-15,19.69956970214844,34405700,-0.015000097276895441,0, petrobras vende ativos na nigéria e encerra atividades na áfrica petrobras fecha fábrica de fertilizantes no paraná e demitirá 396 funcionários petroleiros protestam contra interesse do mubadala por refinaria da petrobras petrobras coloca à venda ativos na bacia do espírito santo fim da preferência da petrobras em leilões deve ser votado ... petrobras paralisa preventivamente unidade de refinaria em cubatão após emissão de fumaça, petrobras sells assets in nigeria and ends activities in africa Petrobras closes fertilizer plant in Paraná and will lay off 396 employees oil workers protest against mubadala's interest in petrobras refinery petrobras puts assets up for sale in the Espírito Santo basin end of petrobras' preference in auctions must be voted on... petrobras preventively shuts down refinery unit in cubatão after emission of smoke,-8.0,-0.15555555555555559,0.2888888888888889,0.167,5.279,0.554,0.6058,2.2495565339922905,3.637507349252701,0.11293607577681541,0.0,-1.58892822265625,3.999827027320862
2020-01-16,19.679569244384766,28997400,-0.0010152738392803506,0," empresa reestatizada pela petrobras no governo dilma é fechada exclusivo-raízen negocia consórcio com fundo gip por refinarias da petrobras, dizem fontes petrobras encerra presença de quatro décadas na áfrica lava jato denuncia dono de gráfica por lavagem de dinheiro em contratos relacionados à petrobras petrobras começa a vender dois ativos offshore brasileiros petrobras informa nova descoberta de petróleo na bacia de campos"," company renationalized by petrobras in the dilma government is closed exclusive-raízen negotiates consortium with gip fund for petrobras refineries, say sources petrobras ends its four-decade presence in africa Lava Jato denounces print shop owner for money laundering in contracts related to petrobras petrobras starts selling two Brazilian offshore assets petrobras informs new oil discovery in Campos Basin",-15.0,0.03636363636363635,0.9545454545454546,0.182,5.597,0.221,-0.2625,1.2423945553600788,4.566993445158005,0.19061209727078676,0.0,0.0,5.9986452460289
